Participant,Condition,MW,MW%,NumFix,FixDur,Comp,Comp%,Total
P1,neu,2,0.4,62,278819,1.0,0.2,4.0
P1,neg,2,0.4,64,272991,3.0,0.6,4.0
P4,neu,1,0.2,76,201703,3.0,0.6,7.0
P4,neg,3,0.6,77,204681,4.0,0.8,7.0
P5,neu,0,0.0,69,208364,0.0,0.0,4.0
P5,neg,1,0.2,67,215784,4.0,0.8,4.0
P7,neu,1,0.2,65,150635,1.0,0.2,6.0
P7,neg,1,0.2,48,118898,5.0,1.0,6.0
P9,neu,0,0.0,58,118164,2.0,0.4,7.0
P9,neg,0,0.0,36,109187,5.0,1.0,7.0
P11,neu,3,0.6,62,193210,2.0,0.4,4.0
P11,neg,2,0.4,57,166433,2.0,0.4,4.0
P13,neu,0,0.0,71,215297,2.0,0.4,6.0
P13,neg,1,0.2,68,223414,4.0,0.8,6.0
P15,neu,2,0.4,38,105740,1.0,0.2,3.0
P15,neg,3,0.6,44,129527,2.0,0.4,3.0
P17,neu,2,0.4,69,204100,2.0,0.4,4.0
P17,neg,2,0.4,60,138404,2.0,0.4,4.0
P19,neu,2,0.4,61,281995,2.0,0.4,7.0
P19,neg,1,0.2,66,254962,5.0,1.0,7.0
P21,neu,3,0.6,72,193938,1.0,0.2,4.0
P21,neg,1,0.2,71,195455,3.0,0.6,4.0
P23,neu,3,0.6,60,259563,2.0,0.4,6.0
P23,neg,1,0.2,56,272160,4.0,0.8,6.0
P27,neu,4,0.8,66,244199,2.0,0.4,6.0
P27,neg,0,0.0,65,246143,4.0,0.8,6.0
P31,neu,2,0.4,67,227435,1.0,0.2,6.0
P31,neg,2,0.4,69,195111,5.0,1.0,6.0
P33,neu,3,0.6,69,241397,1.0,0.2,5.0
P33,neg,2,0.4,75,218250,4.0,0.8,5.0
P35,neu,2,0.4,63,257751,2.0,0.4,6.0
P35,neg,3,0.6,69,214545,4.0,0.8,6.0
P39,neu,4,0.8,82,157750,1.0,0.2,4.0
P39,neg,3,0.6,71,146592,3.0,0.6,4.0
P41,neu,2,0.4,74,216883,2.0,0.4,5.0
P41,neg,0,0.0,72,229000,3.0,0.6,5.0
P3,neu,3,0.6,78,160283,2.0,0.4,5.0
P3,pos,2,0.4,78,146031,3.0,0.6,5.0
P6,neu,3,0.6,73,105779,1.0,0.2,5.0
P6,pos,3,0.6,75,123458,4.0,0.8,5.0
P8,neu,2,0.4,63,131375,2.0,0.4,4.0
P8,pos,2,0.4,54,113712,2.0,0.4,4.0
P10,neu,2,0.4,59,270557,2.0,0.4,5.0
P10,pos,0,0.0,65,233418,3.0,0.6,5.0
P12,neu,2,0.4,73,178502,1.0,0.2,6.0
P12,pos,2,0.4,63,200274,5.0,1.0,6.0
P14,neu,4,0.8,45,122927,0.0,0.0,4.0
P14,pos,5,1.0,66,164327,4.0,0.8,4.0
P16,neu,2,0.4,54,319544,4.0,0.8,8.0
P16,pos,3,0.6,63,268914,4.0,0.8,8.0
P18,neu,2,0.4,65,143565,3.0,0.6,7.0
P18,pos,1,0.2,75,134702,4.0,0.8,7.0
P20,neu,3,0.6,63,143225,1.0,0.2,3.0
P20,pos,5,1.0,72,177750,2.0,0.4,3.0
P22,neu,1,0.2,49,120862,4.0,0.8,7.0
P22,pos,2,0.4,18,78498,3.0,0.6,7.0
P24,neu,1,0.2,51,116966,0.0,0.0,4.0
P24,pos,4,0.8,56,102713,4.0,0.8,4.0
P26,neu,4,0.8,73,224893,2.0,0.4,3.0
P26,pos,5,1.0,73,217197,1.0,0.2,3.0
P30,neu,4,0.8,44,104892,2.0,0.4,3.0
P30,pos,2,0.4,44,100387,1.0,0.2,3.0
P32,neu,2,0.4,66,237893,2.0,0.4,7.0
P32,pos,1,0.2,68,229352,5.0,1.0,7.0
P34,neu,2,0.4,69,127377,1.0,0.2,5.0
P34,pos,4,0.8,67,120603,4.0,0.8,5.0
P38,neu,3,0.6,66,228312,2.0,0.4,5.0
P38,pos,1,0.2,76,206186,3.0,0.6,5.0
