Participant,ProbeNum,MW,PC,Condition,ProbeStart,ClosestFix,ActualDif,NumFix,FixDur
P1,1,0,,neu,4940020154,4920157827,19.9,64,263
P1,2,1,1.0,neu,5084345475,5064236131,20.1,71,229
P1,3,0,,neu,5210837284,5190961062,19.9,60,284
P1,4,1,0.0,neu,5394154207,5374285585,19.9,59,302
P1,5,0,,neu,5504866004,5484968716,19.9,57,314
P1,6,0,,neg,5676795094,5656563063,20.2,68,259
P1,7,1,0.0,neg,5829520580,5809439960,20.1,62,287
P1,8,0,,neg,5924450848,5904429853,20.0,65,271
P1,9,0,,neg,6042610371,6022652084,20.0,65,273
P1,10,1,1.0,neg,6162789656,6142885937,19.9,64,274
P4,1,0,,neu,5124257948,5104527709,19.7,66,241
P4,2,0,,neu,5189733193,5169800946,19.9,75,213
P4,3,1,1.0,neu,5241749786,5221724315,20.0,79,185
P4,4,0,,neu,5298841854,5278882966,20.0,82,177
P4,5,0,,neu,5352728284,5332769985,20.0,82,190
P4,6,1,0.0,neg,5422745527,5402638521,20.1,81,180
P4,7,1,1.0,neg,5509561528,5489548083,20.0,70,229
P4,8,0,,neg,5581516932,5561440261,20.1,81,196
P4,9,0,,neg,5644169023,5624253904,19.9,82,188
P4,10,1,1.0,neg,5722302645,5702293086,20.0,72,227
P5,1,0,,neu,7298699683,7278860049,19.8,60,256
P5,2,0,,neu,7425242109,7405151247,20.1,68,167
P5,3,0,,neu,7563505848,7543368542,20.1,69,199
P5,4,0,,neu,7747123460,7727234158,19.9,76,198
P5,5,0,,neu,7857719025,7837730324,20.0,72,219
P5,6,1,0.0,neg,8035877000,8015877372,20.0,66,231
P5,7,0,,neg,8205600358,8185486718,20.1,66,205
P5,8,0,,neg,8310584835,8290625342,20.0,69,206
P5,9,0,,neg,8420661967,8400497373,20.2,67,219
P5,10,0,,neg,8538988388,8519017861,20.0,69,216
P7,1,0,,neu,7635475791,7615563178,19.9,63,167
P7,2,0,,neu,7776078339,7756081889,20.0,64,144
P7,3,0,,neu,7911321637,7891369463,20.0,63,149
