StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q2_4_TEXT,Q3,Q4,Q4_5_TEXT,Q5_1,Q6,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q18,SC0
2024-04-11 11:09:48,2024-04-11 11:57:33,0,137.56.168.198,100,2864,1,2024-04-11 11:57:34,R_2AZfp3tfDG62ILv,,,,,51.5567,5.0789,anonymous,EN,1,1,,22,4,,2.0,2,3,1,1,4,4,4,3,1,2,1,4
2024-04-15 13:56:10,2024-04-15 14:27:58,0,137.56.168.198,100,1908,1,2024-04-15 14:27:59,R_53adNFxkOL8NAwy,,,,,51.5567,5.0789,anonymous,EN,4,2,,25,4,,2.0,2,1,1,4,4,1,4,3,2,3,1,7
2024-04-15 14:31:04,2024-04-15 15:15:15,0,137.56.168.198,100,2650,1,2024-04-15 15:15:15,R_8S9bhhDm11HpCzO,,,,,51.5567,5.0789,anonymous,EN,5,1,,22,4,,2.0,2,4,1,2,4,4,2,1,2,4,3,4
2024-04-16 11:30:02,2024-04-16 12:20:29,0,137.56.168.198,100,3027,1,2024-04-16 12:20:30,R_6PRml96U9k4z3gd,,,,,51.5567,5.0789,anonymous,EN,7,2,,22,4,,2.0,2,3,1,3,4,1,2,4,2,2,1,6
2024-04-16 14:51:24,2024-04-16 15:32:38,0,137.56.168.198,100,2474,1,2024-04-16 15:32:39,R_8QugCWu2cBmaIgi,,,,,51.5567,5.0789,anonymous,EN,9,2,,21,4,,2.0,2,1,1,2,4,3,2,3,2,1,1,7
2024-04-17 10:23:57,2024-04-17 10:50:49,0,137.56.168.198,100,1612,1,2024-04-17 10:50:50,R_4mRkh6vl5aMBesF,,,,,51.5567,5.0789,anonymous,EN,11,1,,21,4,,2.0,2,1,1,2,3,1,2,1,1,1,4,4
2024-04-19 08:51:28,2024-04-19 09:45:11,0,137.56.168.198,100,3223,1,2024-04-19 09:45:12,R_8QQvLWZKNFyWR6F,,,,,51.5567,5.0789,anonymous,EN,13,1,,19,4,,3.0,2,1,1,3,4,1,2,3,4,2,1,6
2024-04-19 10:56:34,2024-04-19 11:39:42,0,137.56.168.198,100,2587,1,2024-04-19 11:39:43,R_3mDYGQmIp7hf3lG,,,,,51.5567,5.0789,anonymous,EN,15,2,,23,4,,1.0,2,4,1,1,1,4,2,1,1,1,4,3
2024-04-19 12:42:57,2024-04-19 13:14:03,0,137.56.168.198,100,1866,1,2024-04-19 13:14:03,R_2MV1IN5PUIzXcsN,,,,,51.5567,5.0789,anonymous,EN,17,1,,19,4,,2.0,3,2,1,4,1,3,4,1,2,2,3,4
2024-04-19 14:25:27,2024-04-19 15:37:59,0,137.56.168.198,100,4351,1,2024-04-19 15:38:00,R_7HGNEs6lA8J1TyS,,,,,51.5567,5.0789,anonymous,EN,19,1,,19,4,,1.0,2,1,1,1,4,1,2,3,2,3,1,7
2024-04-22 09:56:19,2024-04-22 10:21:18,0,137.56.168.198,100,1499,1,2024-04-22 10:21:19,R_1qnXJ9SwNUs6CNX,,,,,51.5567,5.0789,anonymous,EN,21,1,,21,4,,4.0,2,2,1,2,1,4,2,1,1,3,1,4
2024-04-22 11:20:14,2024-04-22 12:43:27,0,137.56.168.198,100,4993,1,2024-04-22 12:43:28,R_8P5i9xFUMSnXTaE,,,,,51.5567,5.0789,anonymous,EN,23,1,,19,4,,2.0,2,4,1,1,1,1,2,1,2,1,1,6
2024-04-23 11:24:14,2024-04-23 12:43:11,0,137.56.168.198,100,4736,1,2024-04-23 12:43:12,R_1sYTiG91AbubEOt,,,,,51.5567,5.0789,anonymous,EN,27,1,,21,4,,2.0,2,2,1,4,2,4,2,1,2,4,1,6
2024-04-23 15:33:54,2024-04-23 16:28:11,0,137.56.168.198,100,3257,1,2024-04-23 16:28:12,R_5p38jINTu7yY5gJ,,,,,51.5567,5.0789,anonymous,EN,31,1,,20,4,,3.0,2,1,1,4,4,4,2,1,2,2,1,6
2024-04-24 10:48:27,2024-04-24 11:35:54,0,137.56.168.198,100,2847,1,2024-04-24 11:35:55,R_47ED7dzo9Tn8REz,,,,,51.5567,5.0789,anonymous,EN,33,2,,21,4,,1.0,2,2,1,1,2,4,2,1,2,3,1,5
2024-04-24 12:35:41,2024-04-24 13:29:59,0,137.56.168.198,100,3258,1,2024-04-24 13:30:00,R_2fscvYjT9NGSRjV,,,,,51.5567,5.0789,anonymous,EN,35,1,,23,4,,,2,1,1,2,4,1,4,3,2,2,1,6
2024-04-29 10:31:10,2024-04-29 12:25:00,0,137.56.168.198,100,6829,1,2024-04-29 12:25:01,R_3KxSZZWgC4vPBQL,,,,,51.5567,5.0789,anonymous,EN,39,1,,20,4,,5.0,2,2,3,2,3,3,2,2,2,3,1,4
2024-04-30 12:50:22,2024-04-30 13:23:14,0,137.56.168.198,100,1972,1,2024-04-30 13:23:15,R_11tEee2n4CU2ErD,,,,,51.5567,5.0789,anonymous,EN,41,1,,22,4,,2.0,3,2,1,4,2,4,2,1,2,3,4,5
